entity_group,k,biencoder_recall,colbert_recall,delta
single-entity,1,0.050666666666666665,0.084,0.03333333333333334
single-entity,5,0.158,0.192,0.034
single-entity,10,0.16699999999999998,0.23,0.06300000000000003
single-entity,20,0.21066666666666667,0.2533333333333333,0.04266666666666663
multi-entity,1,0.10388888888888889,0.06944444444444443,-0.03444444444444446
multi-entity,5,0.22476190476190477,0.14896825396825397,-0.0757936507936508
multi-entity,10,0.30317460317460315,0.22952380952380952,-0.07365079365079363
multi-entity,20,0.3198412698412698,0.3198412698412698,0.0
overall,1,0.07062500000000001,0.07854166666666666,0.007916666666666655
overall,5,0.18303571428571427,0.17586309523809524,-0.007172619047619039
overall,10,0.2180654761904762,0.22982142857142857,0.011755952380952367
overall,20,0.25160714285714286,0.27827380952380953,0.026666666666666672
